model,task_count,elapsed_ms,vm_rss_bytes,vm_size_bytes,vm_stack_bytes,kernel_stack_bytes,kernel_threads,running_kernel_threads,sleeping_kernel_threads,uninterruptible_kernel_threads,stopped_kernel_threads,zombie_kernel_threads,idle_kernel_threads,blocked_kernel_threads,kernel_stack_slots_per_1000_tasks,top_wait_channel,top_wait_channel_count
os_thread,1000,21,1454080,152866816,139264,0,347,221,124,2,0,0,0,126,347.0,futex_wait_queue_me,124
os_thread,1000,62,6389760,2136354816,139264,0,984,52,904,28,0,0,0,932,984.0,futex_wait_queue_me,760
os_thread,1000,72,16924672,2162184192,139264,0,154,6,70,78,0,0,0,148,154.0,hrtimer_nanosleep,68
os_thread,1000,78,20062208,2155847680,139264,0,61,1,60,0,0,0,0,60,61.0,hrtimer_nanosleep,59
os_thread,1000,83,15060992,2130518016,139264,0,2,1,1,0,0,0,0,1,2.0,futex_wait_queue_me,1
green_thread,1000,0,4612096,147091456,139264,0,2,2,0,0,0,0,0,0,2.0,,0
green_thread,1000,6,14876672,815558656,167936,0,7,6,1,0,0,0,0,1,7.0,futex_wait_queue_me,1
green_thread,1000,11,20004864,949813248,167936,0,7,1,6,0,0,0,0,6,7.0,ep_poll,4
green_thread,1000,16,20004864,949813248,167936,0,7,1,6,0,0,0,0,6,7.0,ep_poll,4
green_thread,1000,22,20004864,949813248,167936,0,7,1,6,0,0,0,0,6,7.0,ep_poll,4
green_thread,10000,0,3567616,75026432,139264,0,2,2,0,0,0,0,0,0,0.2,,0
green_thread,10000,5,11948032,949846016,167936,0,7,6,1,0,0,0,0,1,0.7,ep_poll,1
green_thread,10000,10,15192064,1127788544,167936,0,7,4,3,0,0,0,0,3,0.7,ep_poll,2
green_thread,10000,15,19787776,1417084928,167936,0,7,4,3,0,0,0,0,3,0.7,ep_poll,3
green_thread,10000,21,24383488,1700962304,167936,0,7,4,3,0,0,0,0,3,0.7,ep_poll,4
green_thread,10000,26,28979200,1979691008,167936,0,7,4,3,0,0,0,0,3,0.7,ep_poll,3
green_thread,10000,31,34115584,2296856576,167936,0,7,7,0,0,0,0,0,0,0.7,,0
green_thread,10000,36,37900288,2523275264,167936,0,7,4,2,1,0,0,0,3,0.7,futex_wait_queue_me,2
green_thread,10000,42,40333312,2679148544,167936,0,7,6,1,0,0,0,0,1,0.7,ep_poll,1
green_thread,10000,47,45469696,3000147968,167936,0,7,5,2,0,0,0,0,2,0.7,,0
green_thread,10000,52,47902720,3142946816,167936,0,7,3,3,1,0,0,0,4,0.7,futex_wait_queue_me,3
green_thread,10000,58,49524736,3243474944,167936,0,7,5,2,0,0,0,0,2,0.7,ep_poll,1
green_thread,10000,63,53579776,3486666752,167936,0,7,6,1,0,0,0,0,1,0.7,ep_poll,2
green_thread,10000,68,57634816,3747295232,167936,0,7,5,2,0,0,0,0,2,0.7,ep_poll,1
green_thread,10000,73,61960192,4007530496,167936,0,7,5,2,0,0,0,0,2,0.7,ep_poll,2
green_thread,10000,79,66285568,4269744128,167936,0,7,3,3,1,0,0,0,4,0.7,ep_poll,3
green_thread,10000,84,68988928,4433678336,167936,0,7,5,2,0,0,0,0,2,0.7,ep_poll,3
green_thread,10000,89,73043968,4693778432,167936,0,7,4,3,0,0,0,0,3,0.7,ep_poll,1
green_thread,10000,94,77369344,4950843392,167936,0,7,5,2,0,0,0,0,2,0.7,ep_poll,2
green_thread,10000,100,81694720,5212000256,167936,0,7,6,1,0,0,0,0,1,0.7,ep_poll,2
green_thread,10000,105,85749760,5468930048,167936,0,7,5,2,0,0,0,0,2,0.7,ep_poll,3
green_thread,10000,110,90341376,5709086720,167936,0,7,2,5,0,0,0,0,5,0.7,ep_poll,4
green_thread,10000,115,102776832,5709086720,167936,0,7,2,5,0,0,0,0,5,0.7,ep_poll,4
green_thread,10000,121,115752960,5709086720,167936,0,7,2,5,0,0,0,0,5,0.7,ep_poll,4
green_thread,10000,126,128458752,5709086720,167936,0,7,2,5,0,0,0,0,5,0.7,ep_poll,4
green_thread,10000,131,141164544,5709086720,167936,0,7,2,5,0,0,0,0,5,0.7,ep_poll,4
green_thread,10000,136,153870336,5709086720,167936,0,7,2,5,0,0,0,0,5,0.7,ep_poll,4
green_thread,10000,141,166846464,5709086720,167936,0,7,2,5,0,0,0,0,5,0.7,ep_poll,4
green_thread,10000,147,163528704,5444366336,167936,0,7,2,5,0,0,0,0,5,0.7,ep_poll,4
green_thread,10000,152,144637952,4834611200,167936,0,7,3,4,0,0,0,0,4,0.7,ep_poll,4
green_thread,10000,157,124747776,4193681408,167936,0,7,2,5,0,0,0,0,5,0.7,ep_poll,4
green_thread,10000,162,105529344,3573358592,167936,0,7,2,5,0,0,0,0,5,0.7,ep_poll,4
green_thread,10000,168,84656128,2900197376,167936,0,7,2,5,0,0,0,0,5,0.7,ep_poll,4
green_thread,10000,173,65208320,2273005568,167936,0,7,2,5,0,0,0,0,5,0.7,ep_poll,4
green_thread,10000,178,45056000,1623093248,167936,0,7,2,5,0,0,0,0,5,0.7,ep_poll,4
green_thread,10000,183,27557888,1058779136,167936,0,7,2,5,0,0,0,0,5,0.7,ep_poll,4
green_thread,10000,189,24010752,953307136,167936,0,7,1,6,0,0,0,0,6,0.7,ep_poll,4
async_future,1000,0,1519616,76804096,139264,0,6,6,0,0,0,0,0,0,6.0,,0
async_future,1000,5,3854336,352133120,139264,0,6,1,5,0,0,0,0,5,6.0,futex_wait_queue_me,5
async_future,1000,10,3854336,352133120,139264,0,6,1,5,0,0,0,0,5,6.0,futex_wait_queue_me,5
async_future,1000,15,4231168,351682560,139264,0,2,1,1,0,0,0,0,1,2.0,futex_wait_queue_me,1
async_future,10000,0,1425408,78905344,139264,0,6,5,1,0,0,0,0,1,0.6,futex_wait_queue_me,1
async_future,10000,5,9228288,357404672,139264,0,6,6,0,0,0,0,0,0,0.6,,0
async_future,10000,10,9228288,357404672,139264,0,6,1,5,0,0,0,0,5,0.6,futex_wait_queue_me,5
async_future,10000,15,9228288,357404672,139264,0,6,1,5,0,0,0,0,5,0.6,futex_wait_queue_me,5
async_future,10000,21,9572352,357355520,139264,0,2,1,1,0,0,0,0,1,0.2,futex_wait_queue_me,1
async_future,50000,0,1478656,78905344,139264,0,6,5,1,0,0,0,0,1,0.12,futex_wait_queue_me,1
async_future,50000,6,9547776,357941248,139264,0,6,4,2,0,0,0,0,2,0.12,futex_wait_queue_me,2
async_future,50000,11,14413824,362942464,139264,0,6,4,2,0,0,0,0,2,0.12,futex_wait_queue_me,1
async_future,50000,16,19550208,367943680,139264,0,6,4,2,0,0,0,0,2,0.12,futex_wait_queue_me,2
async_future,50000,22,26578944,374702080,139264,0,6,3,3,0,0,0,0,3,0.12,futex_wait_queue_me,3
async_future,50000,27,32526336,380784640,139264,0,6,5,1,0,0,0,0,1,0.12,futex_wait_queue_me,1
async_future,50000,32,32526336,380784640,139264,0,6,5,1,0,0,0,0,1,0.12,futex_wait_queue_me,1
async_future,50000,37,32526336,380784640,139264,0,6,5,1,0,0,0,0,1,0.12,futex_wait_queue_me,1
async_future,50000,43,32526336,380784640,139264,0,6,3,3,0,0,0,0,3,0.12,futex_wait_queue_me,2
async_future,50000,48,32526336,380784640,139264,0,6,5,1,0,0,0,0,1,0.12,futex_wait_queue_me,1
async_future,50000,53,32526336,380784640,139264,0,6,5,1,0,0,0,0,1,0.12,,0
async_future,50000,58,32526336,380784640,139264,0,6,2,4,0,0,0,0,4,0.12,futex_wait_queue_me,4
async_future,50000,64,4182016,351592448,139264,0,2,1,1,0,0,0,0,1,0.04,futex_wait_queue_me,1
async_future,100000,0,1372160,76804096,139264,0,6,5,1,0,0,0,0,1,0.06,futex_wait_queue_me,1
async_future,100000,5,9498624,358477824,139264,0,6,4,2,0,0,0,0,2,0.06,futex_wait_queue_me,1
async_future,100000,10,15446016,364290048,139264,0,6,4,2,0,0,0,0,2,0.06,futex_wait_queue_me,3
async_future,100000,15,21663744,370507776,139264,0,6,2,4,0,0,0,0,4,0.06,futex_wait_queue_me,2
async_future,100000,21,28151808,376860672,139264,0,6,4,2,0,0,0,0,2,0.06,futex_wait_queue_me,2
async_future,100000,26,34639872,383078400,139264,0,6,3,3,0,0,0,0,3,0.06,futex_wait_queue_me,2
async_future,100000,31,40316928,388755456,139264,0,6,2,4,0,0,0,0,4,0.06,futex_wait_queue_me,2
async_future,100000,36,46264320,394702848,139264,0,6,4,2,0,0,0,0,2,0.06,futex_wait_queue_me,3
async_future,100000,41,52211712,400515072,139264,0,6,3,3,0,0,0,0,3,0.06,futex_wait_queue_me,3
async_future,100000,47,58159104,406462464,139264,0,6,3,3,0,0,0,0,3,0.06,futex_wait_queue_me,2
async_future,100000,52,61673472,409841664,139264,0,6,5,1,0,0,0,0,1,0.06,futex_wait_queue_me,1
async_future,100000,57,61673472,409841664,139264,0,6,5,1,0,0,0,0,1,0.06,futex_wait_queue_me,1
async_future,100000,62,61673472,409841664,139264,0,6,5,1,0,0,0,0,1,0.06,futex_wait_queue_me,1
async_future,100000,67,61673472,409841664,139264,0,6,5,1,0,0,0,0,1,0.06,futex_wait_queue_me,1
async_future,100000,73,61673472,409841664,139264,0,6,5,1,0,0,0,0,1,0.06,futex_wait_queue_me,1
async_future,100000,78,61673472,409841664,139264,0,6,5,1,0,0,0,0,1,0.06,futex_wait_queue_me,1
async_future,100000,83,61673472,409841664,139264,0,6,5,1,0,0,0,0,1,0.06,futex_wait_queue_me,2
async_future,100000,88,61673472,409841664,139264,0,6,4,2,0,0,0,0,2,0.06,futex_wait_queue_me,2
async_future,100000,94,61673472,409841664,139264,0,6,2,4,0,0,0,0,4,0.06,futex_wait_queue_me,4
async_future,100000,99,61673472,409841664,139264,0,6,5,1,0,0,0,0,1,0.06,futex_wait_queue_me,1
async_future,100000,104,61673472,409841664,139264,0,6,3,3,0,0,0,0,3,0.06,futex_wait_queue_me,3
async_future,100000,109,61673472,409841664,139264,0,6,5,1,0,0,0,0,1,0.06,futex_wait_queue_me,2
async_future,100000,114,61673472,409841664,139264,0,6,2,4,0,0,0,0,4,0.06,futex_wait_queue_me,4
async_future,100000,120,61673472,409841664,139264,0,6,2,4,0,0,0,0,4,0.06,futex_wait_queue_me,4
async_future,100000,125,61673472,409841664,139264,0,6,2,4,0,0,0,0,4,0.06,futex_wait_queue_me,4
async_future,100000,130,48427008,409841664,139264,0,6,2,4,0,0,0,0,4,0.06,futex_wait_queue_me,4
async_future,100000,135,4210688,351592448,139264,0,2,1,1,0,0,0,0,1,0.02,futex_wait_queue_me,1
